text,emotion_code,scenario,speaker_role,sarcasm,ring_level,iaa_score,emotion_cause,conversation_id,turn_number,timestamp
This is amazing!,inte,friendship,partner,0,1,0.617,Reaction to online_debate,conv_5744,4,2026-05-02T06:19:00.032060
This is amazing!,anno,friendship,user,0,1,0.6,Reaction to romance,conv_7772,8,2026-05-02T06:19:00.032685
Best day ever!,cont,family,agent,0,1,0.688,Reaction to customer_service,conv_9164,9,2026-05-02T06:19:00.050906
Best day ever!,appr,online_debate,user,0,2,0.788,Reaction to family,conv_4040,7,2026-05-02T06:19:00.046257
HEARTBROKEN.,grie,online_debate,stranger,0,3,0.77,Reaction to friendship,conv_2935,8,2026-05-02T06:19:00.047822
Overwhelmed.,awe,family,agent,0,1,0.763,Reaction to healthcare,conv_9713,7,2026-05-02T06:19:00.049853
HEARTBROKEN.,grie,online_debate,user,0,3,0.731,Reaction to education,conv_6263,5,2026-05-02T06:19:00.047804
Best day ever!,cont,family,friend,0,1,0.75,Reaction to online_debate,conv_3042,8,2026-05-02T06:19:00.050797
So happy about this!,opti,customer_service,stranger,0,1,0.656,Reaction to education,conv_9808,12,2026-05-02T06:19:00.043182
HATE EVERY FIBER!,loat,healthcare,user,0,3,0.723,Reaction to workplace,conv_6582,8,2026-05-02T06:19:00.048276
I'm worried something might go wrong.,fear,workplace,friend,0,2,0.77,Reaction to friendship,conv_3906,11,2026-05-02T06:19:00.044495
ABSOLUTELY THRILLED!,ecst,friendship,stranger,0,3,0.697,Reaction to friendship,conv_4494,2,2026-05-02T06:19:00.046442
Best day ever!,subm,friendship,stranger,0,1,0.778,Reaction to workplace,conv_8499,10,2026-05-02T06:19:00.049405
ABSOLUTELY THRILLED!,ecst,workplace,stranger,0,3,0.849,Reaction to healthcare,conv_9425,5,2026-05-02T06:19:00.046641
So happy about this!,ange,workplace,partner,0,2,0.939,Reaction to education,conv_6919,10,2026-05-02T06:19:00.045970
So happy about this!,sadn,workplace,partner,0,2,0.716,Reaction to family,conv_9887,2,2026-05-02T06:19:00.045308
ABSOLUTELY THRILLED!,ecst,romance,agent,0,3,0.831,Reaction to workplace,conv_3667,8,2026-05-02T06:19:00.046454
HEARTBROKEN.,grie,online_debate,agent,0,3,0.922,Reaction to family,conv_7819,7,2026-05-02T06:19:00.047927
