dialogue_id,turn_id,speaker,text,emotion,emotion_ring,scenario,sarcasm_flag,emotion_cause,sentiment_polarity,utterance_word_count,inter_annotator_agreement,confidence_score,topic,emotion_shift,input_ids,attention_mask,split
D0001,1,Manager,I need to inform you that your position is being eliminated effective this Friday. 💧,sadness,primary,workplace,False,sudden job elimination announced,negative,15,0.9,0.87,termination,False,"[101, 1045, 2342, 2000, 12367, 2017, 2008, 2115, 2597, 2003, 2108, 5892, 4621, 2023, 5958, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0001,2,Employee,I have been with this organisation for six years without a single negative performance review. 🌋,rage,intense,workplace,False,loyal service met with abrupt termination,negative,16,0.93,0.85,termination,True,"[101, 1045, 2031, 2042, 2007, 2023, 5502, 2005, 2416, 2086, 2302, 1037, 2309, 4997, 2836, 3319, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0001,3,Manager,This decision came directly from the executive team and was not about your performance at all. 🤝,acceptance,mild,workplace,False,,positive,17,0.8,0.75,termination,True,"[101, 2023, 3247, 2234, 3495, 2013, 1996, 3237, 2136, 1998, 2001, 2025, 2055, 2115, 2836, 2012, 2035, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",test
D0001,4,Employee,Six years of my life and you give me three days notice — that is quite the send-off. 💅,contempt,dyadic,workplace,True,disrespectfully short notice given,negative,19,0.75,0.7,termination,True,"[101, 2416, 2086, 1997, 2026, 2166, 1998, 2017, 2507, 2033, 2093, 2420, 5060, 1517, 2008, 2003, 3243, 1996, 4604, 1011, 2125, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",test
D0001,5,Manager,We are offering a generous severance package and full outplacement support from today. 🤝,trust,primary,workplace,False,severance offered to partially compensate,positive,14,0.85,0.74,termination,True,"[101, 2057, 2024, 5378, 1037, 12382, 7367, 21998, 7427, 1998, 2440, 2041, 24759, 10732, 3672, 2490, 2013, 2651, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0001,6,Employee,A severance package does not replace six years of career investment in this company.,grief,intense,workplace,False,career investment feels permanently wasted,negative,14,0.95,0.92,termination,True,"[101, 1037, 7367, 21998, 7427, 2515, 2025, 5672, 2416, 2086, 1997, 2476, 5211, 1999, 2023, 2194, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0001,7,Manager,I understand your anger and I genuinely believe this decision is unjust as well. 📉,sadness,primary,workplace,False,manager privately shares employee's view,negative,15,0.9,0.76,termination,True,"[101, 1045, 3305, 2115, 4963, 1998, 1045, 15958, 2903, 2023, 3247, 2003, 4895, 29427, 2004, 2092, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0001,8,Employee,Then why are you the one sitting across this table delivering the news to me.,anger,primary,workplace,False,manager complicit in unjust decision,negative,15,0.88,0.78,termination,True,"[101, 2059, 2339, 2024, 2017, 1996, 2028, 3564, 2408, 2023, 2795, 12771, 1996, 2739, 2000, 2033, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0002,1,Director,The board approved a twenty percent bonus for the entire engineering organisation. 🔥,ecstasy,intense,workplace,False,substantial bonus approved by board,positive,13,0.95,0.8,bonus,False,"[101, 1996, 2604, 4844, 1037, 3174, 3867, 6781, 2005, 1996, 2972, 3330, 5502, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0002,2,Senior_Dev,I genuinely did not see that coming after the difficulty of this past quarter. 🎇,amazement,intense,workplace,False,unexpected reward after gruelling period,positive,15,0.85,0.78,bonus,True,"[101, 1045, 15958, 2106, 2025, 2156, 2008, 2746, 2044, 1996, 7669, 1997, 2023, 2627, 4284, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",test
